state,2013-14
Andaman & Nicobar Islands,6150
Andhra Pradesh #,464184
Arunachal Pradesh,13545
Assam,159460
Bihar,343663
Chandigarh,29076
Chhattisgarh,185682
Delhi,391125
Goa,48897
Gujarat,765638
Haryana,388917
Himachal Pradesh,82585
Jammu & Kashmir,87570
Jharkhand,172773
Karnataka,614607
Kerala,396282
Madhya Pradesh,434730
Maharashtra,1510132
Manipur,14324
Meghalaya,21922
Mizoram,10297
Nagaland,17749
Odisha,272980
Puducherry,21077
Punjab,317556
Rajasthan,517615
Sikkim,12377
Tamil Nadu,854238
Telangana,391751
Tripura,26810
Uttar Pradesh,862746
Uttarakhand,122897
West Bengal,706561
